物件名,所在地,家賃,面積,坪数,飲食可否,掲載サイト,詳細URL,住所取得可否,latitude,longitude,家賃数値,面積数値,坪数数値,家賃_円,面積_㎡_補正,坪数_補正,立地区分,店舗規模,物件タイプ推定,階数判定,駐車場判定,坪単価,事業成立パターン,不足理由,推奨カフェモデル,推定席数,原価率,人件費率,利益率,想定客単価,その他固定費,月間固定費,必要月商,必要日商_26日営業,必要月間客数,必要日客数_26日営業,理論必要日客数,推奨必要日客数,初期投資下限,初期投資上限,初期投資中央値,事業成立性スコア,評価点,評価ランク,評価コメント,ダッシュボード表示コメント,seongsu_rank,seongsu_fit_score,seongsu_fit_stars,seongsu_fit_type,ブランド順位,星評価,ブランド適合度,ブランドタイプ
ＭＮ店舗1Ｆ【香川町川東】,高松市香川町川東上1764番地,,,,可,テナント香川,https://www.tenantkagawa.com/article/search/00002548,未取得,,,,,,,,,郊外,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,89.0,35.0,★☆☆☆☆,実装難度高,89.0,★☆☆☆☆,35.0,実装難度高
ルヴァン店舗1棟貸【高松町】,高松市高松町-466-1,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002532,取得済み,34.3303413,134.1183614,,,,,,,郊外,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
ＲＩ事務所【香西本町】,高松市香西本町-365-1,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002519,取得済み,34.3506114,134.0024708,,,,,,,郊外,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
ラフォーレナミキ1Ｆ南東号【香西南町】,高松市香西南町-472,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002511,取得済み,34.3394484,134.0002361,,,,,,,郊外,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
山下店舗【上之町】,高松市上之町3--9-40,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002381,未取得,,,,,,,,,準中心街,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
内外テナント1階【国分寺町福家】,高松市国分寺町福家甲823--3,,,,可,テナント香川,https://www.tenantkagawa.com/article/search/00002366,未取得,,,,,,,,,郊外,不明,店舗系,1階・路面想定,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,87.0,38.2,★☆☆☆☆,実装難度高,87.0,★☆☆☆☆,38.2,実装難度高
三谷倉庫付事務所１棟貸【木太町】,高松市木太町-3173-18,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002247,未取得,,,,,,,,,準中心街,不明,倉庫・工場系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
阿部ビル101号【瓦町】,高松市瓦町2--8-8,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002263,取得済み,34.3252684,134.0629058,,,,,,,中心街,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
阿部ビル201号【瓦町】,高松市瓦町2--8-8,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002264,取得済み,34.3252684,134.0629058,,,,,,,中心街,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
アイアイビル1，2F【南新町】,高松市南新町5--3,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002275,未取得,,,,,,,,,中心街,不明,店舗系,上階・地下想定,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
