物件名,所在地,家賃,面積,坪数,飲食可否,掲載サイト,詳細URL,住所取得可否,latitude,longitude,家賃数値,面積数値,坪数数値
漆原テナント・事務所 1階,香川県高松市香川町大野,8万円,85.20㎡,,不可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-640d66da94d1b8330da06dcb/,取得済み,34.2664945,134.0255298,8.0,85.2,
高松市 香川町寺井 (空港通り駅) の貸店舗（一部）,香川県高松市香川町寺井,8.5万円,71.01㎡,,不可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-624cf5c1655be9215e0d7ed0/,取得済み,34.2718437,134.0304778,8.5,71.01,
サントピア８８ 2階部分,香川県高松市太田上町,8.8万円,100.02㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-66f5eab3bb872232557dfacb/,取得済み,34.2970932,134.042515,8.8,100.02,
高松市 香川町寺井 (空港通り駅) の貸店舗（一部）,香川県高松市香川町寺井,8.8万円,63.44㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5af17282e5a69c474d30150d/,取得済み,34.2718437,134.0304778,8.8,63.44,
ＹＩビル 201,香川県高松市百間町,8.8万円,33.75㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-66e8d7e134b4f94bff96b221/,取得済み,34.3451724,134.0528471,8.8,33.75,
クリエイトビル 4Ｆ,香川県高松市塩上町３丁目,9.9万円,71.77㎡,,不可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5ff50ad7298a4d3b7e2e7212/,取得済み,34.3388772,134.0573648,9.9,71.77,
ヘンミビル 205,香川県高松市古馬場町,9.9万円,48.84㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6a0e8e5ee5469042fbdbf228/,取得済み,34.3425721,134.0518077,9.9,48.84,
高松市 太田上町 (太田駅) の貸店舗（一部）,香川県高松市太田上町,10万円,69.95㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-662dca5ca7349f768c4d4d6a/,取得済み,34.2970932,134.042515,10.0,69.95,
高松市 塩上町 (瓦町駅) の貸店舗（一部）,香川県高松市塩上町,10万円,63.61㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-676a154920ba5422ebdb61c8/,取得済み,34.3359149,134.0508803,10.0,63.61,
ＹＩビル 2階,香川県高松市百間町,10万円,39.35㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6836b1a3edabdc2b84828858/,取得済み,34.3451724,134.0528471,10.0,39.35,
高松市 香川町川東下 の貸店舗（一部）,香川県高松市香川町川東下,11万円,103.78㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-63e5b0fba4cf3a687b612ebf/,取得済み,34.2455044,134.0300841,11.0,103.78,
高松市 郷東町 (香西駅) の貸店舗・事務所(一部),香川県高松市郷東町,11万円,132.52㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6625ffa21c76787b82940ef5/,取得済み,34.3473129,134.0147595,11.0,132.52,
津田ビル １階,香川県高松市中央町,11万円,74.93㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6606881ee7d24604c2711195/,取得済み,34.3364526,134.0452022,11.0,74.93,
ソリッド 4D,香川県高松市古馬場町,11万円,42.08㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-60236530f54ec10a84ccca1f/,取得済み,34.3425721,134.0518077,11.0,42.08,
高松市 花ノ宮町３丁目 (栗林公園駅) の貸店舗（一部）,香川県高松市花ノ宮町３丁目,12万円,85.95㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-646306e9202916104aaa82a9/,取得済み,34.3246462,134.0457846,12.0,85.95,
富士ビル 地下１階,香川県高松市常磐町１丁目,12.1万円,93.00㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-662085d6af472b3b825c1d7d/,取得済み,34.3387776,134.0510854,12.1,93.0,
西内町貸事務所　１階 1階,香川県高松市西内町,12.75万円,53.21㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-630eb9d1635f952635393cad/,取得済み,34.3475605,134.0469994,12.75,53.21,
高松市 屋島西町 (屋島駅) の貸店舗・事務所(一部),香川県高松市屋島西町,13万円,133.70㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-555897844249423ff8c68216/,取得済み,34.3603444,134.0966033,13.0,133.7,
高松市 扇町２丁目 (昭和町駅) の貸店舗（一部）,香川県高松市扇町２丁目,13.2万円,135.25㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-67f20f823d177354830cb311/,取得済み,34.3445597,134.0357197,13.2,135.25,
ＡＫビル片原町Ⅱ　２階　北西 （２０２号）,香川県高松市片原町,13.2万円,69.48㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-684a89ea243a5b1d0deb1257/,取得済み,34.3458826,134.0543651,13.2,69.48,
高松市 天神前 (栗林公園北口駅) の貸店舗（一部）,香川県高松市天神前,14.3万円,56.00㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-642fa6da77270d5cba271843/,取得済み,34.3388334,134.045818,14.3,56.0,
西村ジョイ屋島店　１階北ＥＶ前 1階,香川県高松市屋島西町,14.971万円,45.00㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-67330cb3c7b82905187c793b/,取得済み,34.3603444,134.0966033,14.971,45.0,
大内ビル 1階,香川県高松市今新町,15万円,69.03㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6833f5d6c196ea30e30ea1ee/,取得済み,34.3439421,134.0526969,15.0,69.03,
高松市 上福岡町 (花園駅) の貸店舗・事務所(一部),香川県高松市上福岡町,15万円,157.80㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-682a928cd63cad3855bc8266/,取得済み,34.3302357,134.0637986,15.0,157.8,
高松市 鶴屋町 (片原町駅) の貸店舗（一部）,香川県高松市鶴屋町,15万円,98.59㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6a20da03cb8ef797e0780d96/,取得済み,34.3467972,134.0549327,15.0,98.59,
新井ビル 1階,香川県高松市成合町,15.07万円,98.41㎡,,不可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-55588e3142494231b8305814/,取得済み,34.2994211,134.0156685,15.07,98.41,
高松プラザビル ６０３,香川県高松市中野町,15.2295万円,61.04㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-673ead7ac3c8d520f9d36c63/,取得済み,34.3340385,134.0434882,15.2295,61.04,
高松市 新北町 (昭和町駅) の貸店舗・事務所(一部),香川県高松市新北町,15.4万円,71.87㎡,,不可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6052fa256962487ccb19b993/,取得済み,34.3529843,134.0256404,15.4,71.87,
プレシャス番町ビル 4F,香川県高松市番町３丁目,15.8万円,86.88㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68db7f1ba22de730730349b5/,取得済み,34.3423736,134.0417194,15.8,86.88,
ツゥーフィートビル 5-B,香川県高松市鍛冶屋町,16.5万円,61.62㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-682a97c00113b83abe1a03d1/,取得済み,34.3428604,134.0487343,16.5,61.62,
京都興産ビル ５F,香川県高松市瓦町１丁目,16.5万円,116.86㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5b433431e5a69c481006210e/,取得済み,34.3412277,134.051584,16.5,116.86,
下田井町貸店舗事務所 1階,香川県高松市下田井町,16.5万円,105.56㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68f1b59cc430a27e9e0ec70f/,取得済み,34.293847,134.0928756,16.5,105.56,
錦町１丁目　小川マンション１階店舗 1階,香川県高松市錦町１丁目,16.5万円,68.00㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-699d42258f9bb7ed6b2b1bdd/,取得済み,34.3475208,134.044579,16.5,68.0,
プレシャス番町ビル（第一讃機ビル） 4 F北東ｶｰﾈｰｼｮﾝ,香川県高松市番町３丁目,16.5万円,86.88㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-63d8b7d3f47768688d0d5cfc/,取得済み,34.3423736,134.0417194,16.5,86.88,
シャトー古馬場　２階 2階,香川県高松市古馬場町,16.5万円,65.91㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d424941055706b417/,取得済み,34.3425721,134.0518077,16.5,65.91,
高松市 屋島西町 (春日川駅) の貸店舗（一括）,香川県高松市屋島西町,17万円,132.48㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-67ba76203e48c91c26797ad3/,取得済み,34.3603444,134.0966033,17.0,132.48,
高松市 番町１丁目 (瓦町駅) の貸店舗（一部）,香川県高松市番町１丁目,18.15万円,38.98㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6745221d019e3c41c94e53fb/,取得済み,34.34249,134.0464464,18.15,38.98,
向山ビル２Ｆ 2F,香川県高松市瓦町１丁目,19.8万円,75.60㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-56d5429b9732ec2933001454/,取得済み,34.3412277,134.051584,19.8,75.6,
