物件名,所在地,掲載サイト,詳細URL,latitude,longitude,家賃,家賃_円,面積,面積_㎡_補正,坪数,坪数_補正,坪単価,飲食可否,立地区分,店舗規模,物件タイプ推定,階数判定,駐車場判定,事業成立パターン,不足理由,推奨カフェモデル,推定席数,想定客単価,月間固定費,必要月商,必要日商_26日営業,必要日客数_26日営業,理論必要日客数,推奨必要日客数,初期投資中央値,事業成立性スコア,評価ランク,評価コメント,ダッシュボード表示コメント
ラフォーレナミキ1Ｆ南東号【香西南町】,高松市香西南町-472,テナント香川,https://www.tenantkagawa.com/article/search/00002511,34.3394484,134.0002361,,,,,,,,確認必要,郊外,不明,店舗系,不明,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
山下店舗【上之町】,高松市上之町3--9-40,テナント香川,https://www.tenantkagawa.com/article/search/00002381,,,,,,,,,,確認必要,準中心街,不明,店舗系,不明,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
内外テナント1階【国分寺町福家】,高松市国分寺町福家甲823--3,テナント香川,https://www.tenantkagawa.com/article/search/00002366,,,,,,,,,,可,郊外,不明,店舗系,1階・路面想定,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
三谷倉庫付事務所１棟貸【木太町】,高松市木太町-3173-18,テナント香川,https://www.tenantkagawa.com/article/search/00002247,,,,,,,,,,確認必要,準中心街,不明,倉庫・工場系,不明,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
阿部ビル101号【瓦町】,高松市瓦町2--8-8,テナント香川,https://www.tenantkagawa.com/article/search/00002263,34.3252684,134.0629058,,,,,,,,確認必要,中心街,不明,店舗系,不明,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
阿部ビル201号【瓦町】,高松市瓦町2--8-8,テナント香川,https://www.tenantkagawa.com/article/search/00002264,34.3252684,134.0629058,,,,,,,,確認必要,中心街,不明,店舗系,不明,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
アイアイビル1，2F【南新町】,高松市南新町5--3,テナント香川,https://www.tenantkagawa.com/article/search/00002275,,,,,,,,,,確認必要,中心街,不明,店舗系,上階・地下想定,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
あかねビル１棟貸【茜町】,高松市茜町19--12,テナント香川,https://www.tenantkagawa.com/article/search/00002282,,,,,,,,,,確認必要,不明,不明,店舗系,不明,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
オフィスビルいずみ東棟１F【上天神町】,高松市上天神町780--6,テナント香川,https://www.tenantkagawa.com/article/search/00002286,,,,,,,,,,確認必要,準中心街,不明,店舗系,1階・路面想定,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
オフィスビルいずみ東棟2F【上天神町】,高松市上天神町780--6,テナント香川,https://www.tenantkagawa.com/article/search/00002287,,,,,,,,,,確認必要,準中心街,不明,店舗系,上階・地下想定,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
