article_id,name,detail_url,page_no,source_site,list_text
5a5c0b969732ec2c56db5cf7,クイーンズスクエアービル第２ 7-A,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5a5c0b969732ec2c56db5cf7/,2,takamatsu_housing,"クイーンズスクエアービル第２ 7-A 高松琴平電鉄琴平線 / 瓦町駅 高松市瓦町１丁目 徒歩6分 7.7 万円 7,700円 3ヶ月/ なし/ なし 41.50㎡ 12.55坪／0.6134万円 貸店舗（一部） 1990年4月(築36年3ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする"
68f074cf4c8c312b4b224e88,クイ－ンズスケア第一 1階C,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68f074cf4c8c312b4b224e88/,2,takamatsu_housing,"クイ－ンズスケア第一 1階C 高松琴平電鉄琴平線 / 瓦町駅 高松市瓦町２丁目 徒歩5分 7.7 万円 11,400円 3ヶ月/ なし/ なし 22.16㎡ 6.70坪／1.1487万円 貸店舗（一部） 1984年10月(築41年9ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする"
5bf219fbe5a69c28beb84613,新井ビル 200,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5bf219fbe5a69c28beb84613/,2,takamatsu_housing,"新井ビル 200 【バス】 田中 停歩1分 高松市成合町 - 7.7 万円 7,700円 1ヶ月/ なし/ なし 66.54㎡ 20.12坪／0.3826万円 貸店舗・事務所(一部) 1991年10月(築34年9ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする"
665a9a1cda59646e4add9922,牟礼町牟礼　倉庫 2F,https://www.takamatsuhousing.jp/kasi-tenpo/detail-665a9a1cda59646e4add9922/,2,takamatsu_housing,牟礼町牟礼　倉庫 2F パノラマ 高松琴平電鉄志度線 / 八栗駅 高松市牟礼町牟礼 徒歩3分 7.7 万円 - 2ヶ月/ なし/ 1ヶ月 107.05㎡ 32.38坪／0.2378万円 貸店舗（一部） 1966年1月(築60年6ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする
590a7804e5a69c3b10d8431f,香川町浅野貸店舗 1階店舗,https://www.takamatsuhousing.jp/kasi-tenpo/detail-590a7804e5a69c3b10d8431f/,2,takamatsu_housing,香川町浅野貸店舗 1階店舗 【バス】 香川第一中学校前 停歩1分 高松市香川町浅野 - 8 万円 なし 1ヶ月/ なし/ 1ヶ月 70.00㎡ 21.17坪／0.3779万円 貸店舗（一部） 1973年7月(築53年) 物件詳細を見る お気に入り登録 お問い合わせをする
640d66da94d1b8330da06dcb,漆原テナント・事務所 1階,https://www.takamatsuhousing.jp/kasi-tenpo/detail-640d66da94d1b8330da06dcb/,2,takamatsu_housing,漆原テナント・事務所 1階 高松琴平電鉄琴平線 / 空港通り駅 高松市香川町大野 徒歩26分 8 万円 - 1ヶ月/ なし/ 1ヶ月 85.20㎡ 25.77坪／0.3105万円 貸住付店舗（一部） 1983年10月(築42年9ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする
624cf5c1655be9215e0d7ed0,高松市 香川町寺井 (空港通り駅) の貸店舗（一部）,https://www.takamatsuhousing.jp/kasi-tenpo/detail-624cf5c1655be9215e0d7ed0/,2,takamatsu_housing,高松市 香川町寺井 (空港通り駅) の貸店舗（一部） 高松琴平電鉄琴平線 / 空港通り駅 高松市香川町寺井 徒歩12分 8.5 万円 - 3ヶ月/ なし/ なし 71.01㎡ 21.48坪／0.3958万円 貸店舗（一部） 1986年11月(築39年8ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする
66f5eab3bb872232557dfacb,サントピア８８ 2階部分,https://www.takamatsuhousing.jp/kasi-tenpo/detail-66f5eab3bb872232557dfacb/,2,takamatsu_housing,サントピア８８ 2階部分 高松琴平電鉄琴平線 / 太田駅 高松市太田上町 徒歩3分 8.8 万円 なし 6ヶ月/ なし/ 1ヶ月 100.02㎡ 30.25坪／0.2909万円 貸店舗（一部） 1987年9月(築38年10ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする
5af17282e5a69c474d30150d,高松市 香川町寺井 (空港通り駅) の貸店舗（一部）,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5af17282e5a69c474d30150d/,2,takamatsu_housing,高松市 香川町寺井 (空港通り駅) の貸店舗（一部） 高松琴平電鉄琴平線 / 空港通り駅 高松市香川町寺井 徒歩12分 8.8 万円 - 3ヶ月/ なし/ なし 63.44㎡ 19.19坪／0.4586万円 貸店舗（一部） 1986年11月(築39年8ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする
66e8d7e134b4f94bff96b221,ＹＩビル 201,https://www.takamatsuhousing.jp/kasi-tenpo/detail-66e8d7e134b4f94bff96b221/,2,takamatsu_housing,ＹＩビル 201 高松琴平電鉄琴平線 / 片原町駅 高松市百間町 徒歩4分 8.8 万円 - 3ヶ月/ なし/ 1ヶ月 33.75㎡ 10.20坪／0.862万円 貸店舗（一部） 1991年2月(築35年5ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする
