物件名,所在地,家賃,面積,坪数,飲食可否,掲載サイト,詳細URL,住所取得可否,latitude,longitude,家賃数値,面積数値,坪数数値,家賃_円,面積_㎡_補正,坪数_補正,立地区分,店舗規模,物件タイプ推定,階数判定,駐車場判定,坪単価,事業成立パターン,不足理由,推奨カフェモデル,推定席数,原価率,人件費率,利益率,想定客単価,その他固定費,月間固定費,必要月商,必要日商_26日営業,必要月間客数,必要日客数_26日営業,初期投資下限,初期投資上限,初期投資中央値,事業成立性スコア,評価点,評価ランク,評価コメント,ダッシュボード表示コメント
錦町１丁目　小川マンション１階店舗 1階,香川県高松市錦町１丁目,16.5万円,68.00㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-699d42258f9bb7ed6b2b1bdd/,取得済み,34.3475208,134.044579,16.5,68.0,,165000.0,68.0,20.57,不明,中規模,店舗系,1階・路面想定,不明,8021.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,19,0.28,0.23,0.1,900,160000.0,325000.0,833333.0,32051.0,926.0,36.0,5142500,12342000,8742250,73,73,B,必要月商150万円以下 / 必要日客数60人以下 / 初期投資1500万円以下 / 飲食可 / 1階・路面想定,"低固定費・小商圏型。必要月商833,333円、必要日客数36人が目安。"
プレシャス番町ビル（第一讃機ビル） 4 F北東ｶｰﾈｰｼｮﾝ,香川県高松市番町３丁目,16.5万円,86.88㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-63d8b7d3f47768688d0d5cfc/,取得済み,34.3423736,134.0417194,16.5,86.88,,165000.0,86.88,26.28,準中心街,中規模,不明,不明,不明,6278.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,20,0.32,0.26,0.1,1300,160000.0,325000.0,1015625.0,39063.0,781.0,30.0,7884360,18396841,13140600,50,50,C,必要月商150万円以下 / 必要日客数35人以下 / 初期投資1500万円以下 / 飲食可否確認必要,"中心街・高単価型。必要月商1,015,625円、必要日客数30人が目安。"
シャトー古馬場　２階 2階,香川県高松市古馬場町,16.5万円,65.91㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d424941055706b417/,取得済み,34.3425721,134.0518077,16.5,65.91,,165000.0,65.91,19.94,中心街,小規模,不明,上階・地下想定,不明,8276.0,中心街・高回転型,,中心街高回転型カフェ,18,0.3,0.25,0.1,1000,100000.0,265000.0,757143.0,29121.0,757.0,29.0,5981333,13956443,9968888,77,77,B,必要月商80万円以下 / 必要日客数35人以下 / 初期投資1500万円以下 / 飲食可 / 上階・地下で集客難度あり,"中心街・高回転型。必要月商757,143円、必要日客数29人が目安。"
高松市 屋島西町 (春日川駅) の貸店舗（一括）,香川県高松市屋島西町,17万円,132.48㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-67ba76203e48c91c26797ad3/,取得済み,34.3603444,134.0966033,17.0,132.48,,170000.0,132.48,40.08,郊外,大型,店舗系,不明,不明,4242.0,郊外・駐車場依存型,,郊外滞在・ランチ需要型カフェ,44,0.32,0.27,0.1,1100,250000.0,420000.0,1354839.0,52109.0,1232.0,47.0,12022560,30056401,21039480,50,50,C,必要月商150万円以下 / 必要日客数60人以下 / 初期投資は重め / 飲食可 / 郊外で駐車場確認必要,"郊外・駐車場依存型。必要月商1,354,839円、必要日客数47人が目安。"
高松市 番町１丁目 (瓦町駅) の貸店舗（一部）,香川県高松市番町１丁目,18.15万円,38.98㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6745221d019e3c41c94e53fb/,取得済み,34.34249,134.0464464,18.15,38.98,,181500.0,38.98,11.79,準中心街,極小,店舗系,不明,不明,15393.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,11,0.28,0.23,0.1,900,81675.0,263175.0,674808.0,25954.0,750.0,29.0,2947863,7074870,5011366,70,70,B,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可否確認必要,"低固定費・小商圏型。必要月商674,808円、必要日客数29人が目安。"
向山ビル２Ｆ 2F,香川県高松市瓦町１丁目,19.8万円,75.60㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-56d5429b9732ec2933001454/,取得済み,34.3412277,134.051584,19.8,75.6,,198000.0,75.6,22.87,中心街,中規模,不明,上階・地下想定,不明,8658.0,中心街・高回転型,,中心街高回転型カフェ,21,0.3,0.25,0.1,1000,160000.0,358000.0,1022857.0,39341.0,1023.0,39.0,6860700,16008301,11434500,32,32,D,必要月商150万円以下 / 必要日客数60人以下 / 初期投資1500万円以下 / 飲食可否確認必要 / 上階・地下で集客難度あり,"中心街・高回転型。必要月商1,022,857円、必要日客数39人が目安。"
Ｗｉｔｈビル 1階,香川県高松市瓦町２丁目,19.8万円,81.70㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69aa7d5de563002bb48f101b/,取得済み,34.3399504,134.0514047,19.8,81.7,,198000.0,81.7,24.71,中心街,中規模,不明,1階・路面想定,不明,8012.0,中心街・高回転型,,中心街高回転型カフェ,22,0.3,0.25,0.1,1000,160000.0,358000.0,1022857.0,39341.0,1023.0,39.0,7414275,17299976,12357126,48,48,D,必要月商150万円以下 / 必要日客数60人以下 / 初期投資1500万円以下 / 飲食可否確認必要 / 1階・路面想定,"中心街・高回転型。必要月商1,022,857円、必要日客数39人が目安。"
香西貸店舗 1階,香川県高松市香西東町,19.8万円,187.74㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5c62452d9732ec08c6b7f9a3/,取得済み,34.3403451,134.007635,19.8,187.74,,198000.0,187.74,56.79,郊外,大型,店舗系,1階・路面想定,不明,3486.0,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,68,0.33,0.28,0.1,1150,250000.0,448000.0,1544828.0,59416.0,1343.0,52.0,17037406,42593514,29815460,3,3,D,必要月商250万円以下 / 必要日客数60人以下 / 初期投資が重い / 飲食可否確認必要 / 1階・路面想定 / 郊外で駐車場確認必要 / 大型投資型のため慎重判断,"大型投資・高売上必須型。必要月商1,544,828円、必要日客数52人が目安。"
アビタシオンＮＹＫ 1F南,香川県高松市香西南町,19.8万円,182.25㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5ecf6e6730c1427032fc12e9/,取得済み,34.3394484,134.0002361,19.8,182.25,,198000.0,182.25,55.13,郊外,大型,不明,1階・路面想定,不明,3591.0,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,66,0.33,0.28,0.1,1150,250000.0,448000.0,1544828.0,59416.0,1343.0,52.0,16539188,41347970,28943579,3,3,D,必要月商250万円以下 / 必要日客数60人以下 / 初期投資が重い / 飲食可否確認必要 / 1階・路面想定 / 郊外で駐車場確認必要 / 大型投資型のため慎重判断,"大型投資・高売上必須型。必要月商1,544,828円、必要日客数52人が目安。"
高松市 亀岡町 (栗林公園北口駅) の貸店舗・事務所(一部),香川県高松市亀岡町,20万円,99.56㎡,,不可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-640e8a8741708e129e914078/,取得済み,34.3369293,134.0412259,20.0,99.56,,200000.0,99.56,30.12,不明,中規模,店舗系,不明,不明,6641.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,27,0.28,0.23,0.1,900,160000.0,360000.0,923077.0,35503.0,1026.0,39.0,7529225,18070141,12799683,5,5,D,必要月商150万円以下 / 必要日客数60人以下 / 初期投資1500万円以下 / 飲食不可のため原則対象外,"低固定費・小商圏型。必要月商923,077円、必要日客数39人が目安。"
ガーデンコート高松 401,香川県高松市大工町,20.9万円,124.89㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5c822221d032a71c6cedffdc/,取得済み,34.3445496,134.0527521,20.9,124.89,,209000.0,124.89,37.78,中心街,大型,不明,不明,不明,5532.0,中心街・高回転型,,中心街高回転型カフェ,34,0.3,0.25,0.1,1000,250000.0,459000.0,1311429.0,50440.0,1311.0,50.0,11333768,26445458,18889613,30,30,D,必要月商150万円以下 / 必要日客数60人以下 / 初期投資は重め / 飲食可否確認必要,"中心街・高回転型。必要月商1,311,429円、必要日客数50人が目安。"
ガーデンコート高松 501,香川県高松市大工町,20.9万円,123.09㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-60bdd67067528231e3404a78/,取得済み,34.3445496,134.0527521,20.9,123.09,,209000.0,123.09,37.23,中心街,大型,不明,不明,不明,5613.0,中心街・高回転型,,中心街高回転型カフェ,34,0.3,0.25,0.1,1000,250000.0,459000.0,1311429.0,50440.0,1311.0,50.0,11170418,26064308,18617363,30,30,D,必要月商150万円以下 / 必要日客数60人以下 / 初期投資は重め / 飲食可否確認必要,"中心街・高回転型。必要月商1,311,429円、必要日客数50人が目安。"
京都興産ビル 3F,香川県高松市瓦町１丁目,22万円,116.86㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5b432f98d032a70dc813f561/,取得済み,34.3412277,134.051584,22.0,116.86,,220000.0,116.86,35.35,中心街,大型,不明,上階・地下想定,不明,6223.0,中心街・高回転型,,中心街高回転型カフェ,32,0.3,0.25,0.1,1000,250000.0,470000.0,1342857.0,51648.0,1343.0,52.0,10605045,24745106,17675076,47,47,D,必要月商150万円以下 / 必要日客数60人以下 / 初期投資は重め / 飲食可 / 上階・地下で集客難度あり,"中心街・高回転型。必要月商1,342,857円、必要日客数52人が目安。"
じゃこ丸ビル ５階　南,香川県高松市西の丸町,22万円,92.00㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-681acd9ced5168205e52f3c4/,取得済み,34.3493418,134.0469457,22.0,92.0,,220000.0,92.0,27.83,不明,中規模,不明,不明,不明,7905.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,25,0.28,0.23,0.1,900,160000.0,380000.0,974359.0,37475.0,1083.0,42.0,6957500,16698001,11827750,65,65,C,必要月商150万円以下 / 必要日客数60人以下 / 初期投資1500万円以下 / 飲食可,"低固定費・小商圏型。必要月商974,359円、必要日客数42人が目安。"
パールコート 1階,香川県高松市百間町,22万円,124.58㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69e1f4f32b1cfe70dd417739/,取得済み,34.3451724,134.0528471,22.0,124.58,,220000.0,124.58,37.69,中心街,大型,不明,1階・路面想定,不明,5838.0,中心街・高回転型,,中心街高回転型カフェ,34,0.3,0.25,0.1,1000,250000.0,470000.0,1342857.0,51648.0,1343.0,52.0,11305635,26379816,18842726,63,63,C,必要月商150万円以下 / 必要日客数60人以下 / 初期投資は重め / 飲食可 / 1階・路面想定,"中心街・高回転型。必要月商1,342,857円、必要日客数52人が目安。"
高松市 百間町 (瓦町駅) の貸店舗（一部）,香川県高松市百間町,22万円,124.58㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68959441674fe57902cecc97/,取得済み,34.3451724,134.0528471,22.0,124.58,,220000.0,124.58,37.69,中心街,大型,店舗系,不明,不明,5838.0,中心街・高回転型,,中心街高回転型カフェ,34,0.3,0.25,0.1,1000,250000.0,470000.0,1342857.0,51648.0,1343.0,52.0,11305635,26379816,18842726,55,55,C,必要月商150万円以下 / 必要日客数60人以下 / 初期投資は重め / 飲食可,"中心街・高回転型。必要月商1,342,857円、必要日客数52人が目安。"
セントラル高松中新町ビル（旧太陽生命高松中新町ビル） ３０２,香川県高松市中新町,23.5543万円,74.54㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-678dbd615146490136a2bcc3/,取得済み,34.3370423,134.0477376,23.5543,74.54,,235543.0,74.54,22.55,不明,中規模,不明,不明,不明,10446.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,20,0.28,0.23,0.1,900,160000.0,395543.0,1014213.0,39008.0,1127.0,43.0,5637088,13529011,9583050,40,40,D,必要月商150万円以下 / 必要日客数60人以下 / 初期投資1500万円以下 / 飲食可否確認必要,"低固定費・小商圏型。必要月商1,014,213円、必要日客数43人が目安。"
セントラル高松中新町ビル（旧太陽生命高松中新町ビル） ２０２,香川県高松市中新町,23.5543万円,74.54㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-678dbd617f54e6649ea1dfc1/,取得済み,34.3370423,134.0477376,23.5543,74.54,,235543.0,74.54,22.55,不明,中規模,不明,不明,不明,10446.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,20,0.28,0.23,0.1,900,160000.0,395543.0,1014213.0,39008.0,1127.0,43.0,5637088,13529011,9583050,40,40,D,必要月商150万円以下 / 必要日客数60人以下 / 初期投資1500万円以下 / 飲食可否確認必要,"低固定費・小商圏型。必要月商1,014,213円、必要日客数43人が目安。"
高松市 東山崎町 (水田駅) の貸店舗・事務所(一括),香川県高松市東山崎町,24.2万円,141.60㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5ce350d0e5a69c2656af61c7/,取得済み,34.3078228,134.0959696,24.2,141.6,,242000.0,141.6,42.83,郊外,大型,店舗系,不明,不明,5650.0,郊外・駐車場依存型,,郊外滞在・ランチ需要型カフェ,47,0.32,0.27,0.1,1100,250000.0,492000.0,1587097.0,61042.0,1443.0,55.0,12850200,32125501,22487850,15,15,D,必要月商250万円以下 / 必要日客数60人以下 / 初期投資は重め / 飲食可否確認必要 / 郊外で駐車場確認必要,"郊外・駐車場依存型。必要月商1,587,097円、必要日客数55人が目安。"
高松市 六条町 (水田駅) の貸店舗（一括）,香川県高松市六条町,25万円,182.38㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-58bf9517e5a69c0e2c12e0ed/,取得済み,34.2985968,134.0836537,25.0,182.38,,250000.0,182.38,55.17,郊外,大型,店舗系,不明,不明,4531.0,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,66,0.33,0.28,0.1,1150,250000.0,500000.0,1724138.0,66313.0,1499.0,58.0,16550986,41377464,28964225,20,20,D,必要月商250万円以下 / 必要日客数60人以下 / 初期投資が重い / 飲食可 / 郊外で駐車場確認必要 / 大型投資型のため慎重判断,"大型投資・高売上必須型。必要月商1,724,138円、必要日客数58人が目安。"
ＡＫビルⅩⅢ　１階 1階,香川県高松市百間町,25.3万円,76.00㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6a0eb8f8bda945109354afbb/,取得済み,34.3451724,134.0528471,25.3,76.0,,253000.0,76.0,22.99,中心街,中規模,不明,1階・路面想定,不明,11005.0,中心街・高回転型,,中心街高回転型カフェ,21,0.3,0.25,0.1,1000,160000.0,413000.0,1180000.0,45385.0,1180.0,45.0,6897000,16093001,11495000,48,48,D,必要月商150万円以下 / 必要日客数60人以下 / 初期投資1500万円以下 / 飲食可否確認必要 / 1階・路面想定,"中心街・高回転型。必要月商1,180,000円、必要日客数45人が目安。"
ＣＵＢＥ高松　旧共栄火災海上保険株式会社高松支社 １Ｆ,香川県高松市塩屋町,26.0656万円,97.93㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68d9f87b7f54e611de549e33/,取得済み,34.342155,134.0550633,26.0656,97.93,,260656.0,97.93,29.62,中心街,中規模,不明,不明,不明,8799.0,中心街・高回転型,,中心街高回転型カフェ,27,0.3,0.25,0.1,1000,160000.0,420656.0,1201874.0,46226.0,1202.0,46.0,8887148,20736678,14811913,40,40,D,必要月商150万円以下 / 必要日客数60人以下 / 初期投資1500万円以下 / 飲食可否確認必要,"中心街・高回転型。必要月商1,201,874円、必要日客数46人が目安。"
高松市 鍛冶屋町 (瓦町駅) の貸店舗（一部）,香川県高松市鍛冶屋町,26.4万円,124.23㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-59d30e12e5a69c6ccf3e274c/,取得済み,34.3428604,134.0487343,26.4,124.23,,264000.0,124.23,37.58,中心街,大型,店舗系,不明,不明,7025.0,中心街・高回転型,,中心街高回転型カフェ,34,0.3,0.25,0.1,1000,250000.0,514000.0,1468571.0,56484.0,1469.0,56.0,11273873,26305703,18789788,55,55,C,必要月商150万円以下 / 必要日客数60人以下 / 初期投資は重め / 飲食可,"中心街・高回転型。必要月商1,468,571円、必要日客数56人が目安。"
高松市 国分寺町新居 (端岡駅) の貸店舗・事務所(一括),香川県高松市国分寺町新居,27.5万円,167.55㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6a07ab7dce03c2ec06377e02/,取得済み,34.3150123,133.9666553,27.5,167.55,,275000.0,167.55,50.68,郊外,大型,店舗系,不明,不明,5426.0,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,61,0.33,0.28,0.1,1150,250000.0,525000.0,1810345.0,69629.0,1574.0,61.0,15205163,38012908,26609036,0,0,D,必要月商250万円以下 / 必要日客数90人以下 / 初期投資が重い / 飲食可否確認必要 / 郊外で駐車場確認必要 / 大型投資型のため慎重判断,"大型投資・高売上必須型。必要月商1,810,345円、必要日客数61人が目安。"
プレシャス番町ビル（第一讃機ビル） 2F南東コスモス,香川県高松市番町３丁目,27.5万円,169.00㎡,,不可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-63d8a4e80cccef06e5316d54/,取得済み,34.3423736,134.0417194,27.5,169.0,,275000.0,169.0,51.12,準中心街,大型,不明,上階・地下想定,不明,5379.0,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,61,0.33,0.28,0.1,1150,250000.0,525000.0,1810345.0,69629.0,1574.0,61.0,15336751,38341876,26839314,0,0,D,必要月商250万円以下 / 必要日客数90人以下 / 初期投資が重い / 飲食不可のため原則対象外 / 上階・地下で集客難度あり / 大型投資型のため慎重判断,"大型投資・高売上必須型。必要月商1,810,345円、必要日客数61人が目安。"
巧匠ビル　１・２階,香川県高松市今新町,28万円,235.74㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-660e5dbfedc6e56a05971a7b/,取得済み,34.3439421,134.0526969,28.0,235.74,,280000.0,235.74,71.31,中心街,大型,不明,上階・地下想定,不明,3926.0,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,86,0.33,0.28,0.1,1150,250000.0,530000.0,1827586.0,70292.0,1589.0,61.0,21393406,53483515,37438460,0,0,D,必要月商250万円以下 / 必要日客数90人以下 / 初期投資が重い / 飲食可否確認必要 / 上階・地下で集客難度あり / 大型投資型のため慎重判断,"大型投資・高売上必須型。必要月商1,827,586円、必要日客数61人が目安。"
オフィスビルいずみ東１階 1階,香川県高松市上天神町,29.7万円,176.00㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-653f4bd6e89777535faced84/,取得済み,34.3115266,134.0391502,29.7,176.0,,297000.0,176.0,53.24,準中心街,大型,事務所系,1階・路面想定,不明,5579.0,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,64,0.33,0.28,0.1,1150,250000.0,547000.0,1886207.0,72546.0,1640.0,63.0,15972001,39930001,27951001,0,0,D,必要月商250万円以下 / 必要日客数90人以下 / 初期投資が重い / 飲食可否確認必要 / 1階・路面想定 / 大型投資型のため慎重判断,"大型投資・高売上必須型。必要月商1,886,207円、必要日客数63人が目安。"
高松市 国分寺町福家 (挿頭丘駅) の貸店舗・事務所(一部),香川県高松市国分寺町福家,33万円,108.27㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68955a821363053550874c30/,取得済み,34.2790659,133.972223,33.0,108.27,,330000.0,108.27,32.75,郊外,中規模,店舗系,不明,不明,10076.0,郊外・駐車場依存型,,郊外滞在・ランチ需要型カフェ,36,0.32,0.27,0.1,1100,165000.0,495000.0,1596774.0,61414.0,1452.0,56.0,9825503,24563757,17194630,40,40,D,必要月商250万円以下 / 必要日客数60人以下 / 初期投資は重め / 飲食可 / 郊外で駐車場確認必要,"郊外・駐車場依存型。必要月商1,596,774円、必要日客数56人が目安。"
ガーデンコート高松 2F,香川県高松市大工町,33万円,199.51㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-63e7433dd93d1c3663901541/,取得済み,34.3445496,134.0527521,33.0,199.51,,330000.0,199.51,60.35,中心街,大型,不明,上階・地下想定,不明,5468.0,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,72,0.33,0.28,0.1,1150,250000.0,580000.0,2000000.0,76923.0,1739.0,67.0,18105533,45263833,31684683,7,7,D,必要月商250万円以下 / 必要日客数90人以下 / 初期投資が重い / 飲食可 / 上階・地下で集客難度あり / 大型投資型のため慎重判断,"大型投資・高売上必須型。必要月商2,000,000円、必要日客数67人が目安。"
エーワン藤塚ビル　１階駐車場・倉庫　２階・３階事務所,香川県高松市藤塚町２丁目,33万円,223.89㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977b424941747cdcc717/,取得済み,34.3339638,134.0508466,33.0,223.89,,330000.0,223.89,67.73,準中心街,大型,倉庫・工場系,1階・路面想定,あり,4873.0,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,81,0.33,0.28,0.1,1150,250000.0,580000.0,2000000.0,76923.0,1739.0,67.0,23704355,54181382,38942868,0,0,D,必要月商250万円以下 / 必要日客数90人以下 / 初期投資が重い / 飲食可否確認必要 / 1階・路面想定 / 大型投資型のため慎重判断,"大型投資・高売上必須型。必要月商2,000,000円、必要日客数67人が目安。"
ＣＵＢＥ高松　旧共栄火災海上保険株式会社高松支社 ５Ｆ,香川県高松市塩屋町,33.1485万円,132.85㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-678dbd617f54e65d5a95dbcb/,取得済み,34.342155,134.0550633,33.1485,132.85,,331485.0,132.85,40.19,中心街,大型,不明,不明,不明,8249.0,中心街・高回転型,,中心街高回転型カフェ,36,0.3,0.25,0.1,1000,250000.0,581485.0,1661386.0,63899.0,1661.0,64.0,12056138,28130989,20093564,10,10,D,必要月商250万円以下 / 必要日客数90人以下 / 初期投資は重め / 飲食可否確認必要,"中心街・高回転型。必要月商1,661,386円、必要日客数64人が目安。"
ＣＵＢＥ高松　旧共栄火災海上保険株式会社高松支社 ４Ｆ,香川県高松市塩屋町,33.1485万円,132.85㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-678dbd617f54e665070e0af6/,取得済み,34.342155,134.0550633,33.1485,132.85,,331485.0,132.85,40.19,中心街,大型,不明,不明,不明,8249.0,中心街・高回転型,,中心街高回転型カフェ,36,0.3,0.25,0.1,1000,250000.0,581485.0,1661386.0,63899.0,1661.0,64.0,12056138,28130989,20093564,10,10,D,必要月商250万円以下 / 必要日客数90人以下 / 初期投資は重め / 飲食可否確認必要,"中心街・高回転型。必要月商1,661,386円、必要日客数64人が目安。"
高松市 林町 (伏石駅) の貸店舗（一括）,香川県高松市林町,35万円,223.90㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-67a47b12991eeb6eed4aac18/,取得済み,34.3005438,134.069878,35.0,223.9,,350000.0,223.9,67.73,郊外,大型,店舗系,不明,不明,5168.0,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,81,0.33,0.28,0.1,1150,250000.0,600000.0,2068966.0,79576.0,1799.0,69.0,20318926,50797314,35558120,0,0,D,必要月商250万円以下 / 必要日客数90人以下 / 初期投資が重い / 飲食可否確認必要 / 郊外で駐車場確認必要 / 大型投資型のため慎重判断,"大型投資・高売上必須型。必要月商2,068,966円、必要日客数69人が目安。"
カーラビル １F,香川県高松市瓦町２丁目,49.5万円,124.54㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d424941055700b417/,取得済み,34.3399504,134.0514047,49.5,124.54,,495000.0,124.54,37.67,中心街,大型,不明,1階・路面想定,不明,13139.0,中心街・高回転型,,中心街高回転型カフェ,34,0.3,0.25,0.1,1000,272250.0,767250.0,2192143.0,84313.0,2192.0,84.0,11302005,26371346,18836676,33,33,D,必要月商250万円以下 / 必要日客数90人以下 / 初期投資は重め / 飲食可 / 1階・路面想定 / 中心街でも回転数ハードル高め,"中心街・高回転型。必要月商2,192,143円、必要日客数84人が目安。"
西村ジョイ屋島店　１階テナント　Ｃ区画 1階,香川県高松市屋島西町,51.4272万円,515.20㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-680f3150c8d81631e329df64/,取得済み,34.3603444,134.0966033,51.4272,515.2,,514272.0,515.2,155.85,郊外,大型,店舗系,1階・路面想定,不明,3300.0,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,187,0.33,0.28,0.1,1150,282850.0,797122.0,2748695.0,105719.0,2390.0,92.0,46754402,116886004,81820203,0,0,D,必要月商400万円以下 / 多客数が必須 / 初期投資が重い / 飲食可否確認必要 / 1階・路面想定 / 郊外で駐車場確認必要 / 大型投資型のため慎重判断,"大型投資・高売上必須型。必要月商2,748,695円、必要日客数92人が目安。"
ソレイユ第一ビル 202,香川県高松市亀井町,53.96万円,324.36㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-555897fe42494105814fab17/,取得済み,34.3401075,134.0481231,53.96,324.36,,539600.0,324.36,98.12,中心街,大型,不明,不明,不明,5499.0,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,118,0.33,0.28,0.1,1150,296780.0,836380.0,2884069.0,110926.0,2508.0,96.0,29435671,73589178,51512424,0,0,D,必要月商400万円以下 / 多客数が必須 / 初期投資が重い / 飲食可 / 大型投資型のため慎重判断,"大型投資・高売上必須型。必要月商2,884,069円、必要日客数96人が目安。"
オフィスビルいずみ,香川県高松市上天神町,55万円,584.00㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-60743b77298a4d7ba61a7822/,取得済み,34.3115266,134.0391502,55.0,584.0,,550000.0,584.0,176.66,準中心街,大型,事務所系,不明,不明,3113.0,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,212,0.33,0.28,0.1,1150,302500.0,852500.0,2939655.0,113064.0,2556.0,98.0,52998002,132495005,92746504,0,0,D,必要月商400万円以下 / 多客数が必須 / 初期投資が重い / 飲食可否確認必要 / 大型投資型のため慎重判断,"大型投資・高売上必須型。必要月商2,939,655円、必要日客数98人が目安。"
瓦町スクエアビルド ５階,香川県高松市瓦町２丁目,83.13万円,458.03㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-57aa80db9732ec15a177a0ec/,取得済み,34.3399504,134.0514047,83.13,458.03,,831300.0,458.03,138.55,中心街,大型,不明,不明,不明,6000.0,大型投資・高売上必須型,,大型滞在・複合目的型カフェ,166,0.33,0.28,0.1,1150,457215.0,1288515.0,4443155.0,170891.0,3864.0,149.0,41566224,103915560,72740892,0,0,D,高売上必須 / 多客数が必須 / 初期投資が重い / 飲食可否確認必要 / 大型投資型のため慎重判断,"大型投資・高売上必須型。必要月商4,443,155円、必要日客数149人が目安。"
