物件名,所在地,家賃,面積,坪数,飲食可否,掲載サイト,詳細URL,住所取得可否,latitude,longitude,家賃数値,面積数値,坪数数値,家賃_円,面積_㎡_補正,坪数_補正,立地区分,店舗規模,物件タイプ推定,階数判定,駐車場判定,坪単価,事業成立パターン,不足理由,推奨カフェモデル,推定席数,原価率,人件費率,利益率,想定客単価,その他固定費,月間固定費,必要月商,必要日商_26日営業,必要月間客数,必要日客数_26日営業,初期投資下限,初期投資上限,初期投資中央値,事業成立性スコア,評価点,評価ランク,評価コメント,ダッシュボード表示コメント
ＭＮ店舗1Ｆ【香川町川東】,香川県高松市香川町川東上1764番地,,168m 2 (50.82坪）,,可,テナント香川,https://www.tenantkagawa.com/article/search/00002548,未取得,,,,168.0,,,168.0,50.82,郊外,大型,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,51,0.3,0.25,0.1,1000,,,,,,,15246000,35574000,25410000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
ルヴァン店舗1棟貸【高松町】,香川県高松市高松町-466-1,,121.41m 2 (36.73坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002532,取得済み,34.3303413,134.1183614,,121.41,,,121.41,36.73,郊外,大型,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,37,0.3,0.25,0.1,1000,,,,,,,11019000,25711000,18365000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
ＲＩ事務所【香西本町】,香川県高松市香西本町-365-1,,326.71m 2 (98.83坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002519,取得済み,34.3506114,134.0024708,,326.71,,,326.71,98.83,郊外,大型,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,99,0.3,0.25,0.1,1000,,,,,,,29649000,69181000,49415000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
ラフォーレナミキ1Ｆ南東号【香西南町】,香川県高松市香西南町-472,,94.01m 2 (28.44坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002511,取得済み,34.3394484,134.0002361,,94.01,,,94.01,28.44,郊外,中規模,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,28,0.3,0.25,0.1,1000,,,,,,,8532000,19908000,14220000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
山下店舗【上之町】,香川県高松市上之町3--9-40,,39.89m 2 (12.07坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002381,未取得,,,,39.89,,,39.89,12.07,準中心街,小規模,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,12,0.3,0.25,0.1,1000,,,,,,,3621000,8449000,6035000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
内外テナント1階【国分寺町福家】,香川県高松市国分寺町福家甲823--3,,108.27m 2 (32.75坪）,,可,テナント香川,https://www.tenantkagawa.com/article/search/00002366,未取得,,,,108.27,,,108.27,32.75,郊外,中規模,店舗系,1階・路面想定,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,33,0.3,0.25,0.1,1000,,,,,,,9825000,22925000,16375000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
三谷倉庫付事務所１棟貸【木太町】,香川県高松市木太町-3173-18,,104.34m 2 (31.56坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002247,未取得,,,,104.34,,,104.34,31.56,準中心街,中規模,倉庫・工場系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,32,0.3,0.25,0.1,1000,,,,,,,11046000,25248000,18147000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
阿部ビル101号【瓦町】,香川県高松市瓦町2--8-8,,25.92m 2 (7.84坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002263,取得済み,34.3252684,134.0629058,,25.92,,,25.92,7.84,中心街,極小,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,8,0.3,0.25,0.1,1000,,,,,,,2352000,5488000,3920000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
阿部ビル201号【瓦町】,香川県高松市瓦町2--8-8,,25.92m 2 (7.84坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002264,取得済み,34.3252684,134.0629058,,25.92,,,25.92,7.84,中心街,極小,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,8,0.3,0.25,0.1,1000,,,,,,,2352000,5488000,3920000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
アイアイビル1，2F【南新町】,香川県高松市南新町5--3,,352.16m 2 (106.53坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002275,未取得,,,,352.16,,,352.16,106.53,中心街,大型,店舗系,上階・地下想定,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,107,0.3,0.25,0.1,1000,,,,,,,31959000,74571000,53265000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
あかねビル１棟貸【茜町】,香川県高松市茜町19--12,,691.36m 2 (209.14坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002282,未取得,,,,691.36,,,691.36,209.14,不明,大型,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,209,0.3,0.25,0.1,1000,,,,,,,62742000,146398000,104570000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
オフィスビルいずみ東棟１F【上天神町】,香川県高松市上天神町780--6,,180.87m 2 (54.71坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002286,未取得,,,,180.87,,,180.87,54.71,準中心街,大型,店舗系,1階・路面想定,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,55,0.3,0.25,0.1,1000,,,,,,,16413000,38297000,27355000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
